1147A,1148A,1149A,1150A,1151A,1152A
36.0,36.0,29.0,28.0,67.0,67.0
16.0,16.0,14.0,11.0,48.0,48.0
36.0,36.0,29.0,28.0,64.0,66.0
10.0,6.0,7.0,6.0,4.0,5.0
39.0,56.0,39.0,35.0,38.0,31.0
57.0,36.0,54.0,56.0,51.0,65.0
0.5,0.5,0.7,0.6,0.6,0.8
