date,hour,type,1141A,1142A,1143A,1147A,1148A,1149A,1150A,1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1169A,1170A,1171A,1172A,1173A,1177A,1180A,1181A,1182A,1186A,1188A,1189A,1190A,1191A,1192A,1193A,1194A,1195A,1196A,1200A,1201A,1203A,1204A,1205A,1207A,1209A,1210A,1211A,1212A,1213A,1215A,1216A,1220A,1221A,1223A,1224A,1226A,1227A,1228A,1230A,1231A,1232A,1233A,1234A,1235A,1236A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1250A,1252A,1253A,1255A,1256A,1257A,1258A,1260A,1262A,1263A,1264A,1265A,1266A,1268A,1269A
20250213,23,AQI,31.0,34.0,25.0,36.0,36.0,29.0,28.0,67.0,67.0,62.0,73.0,73.0,58.0,77.0,70.0,64.0,34.0,27.0,33.0,37.0,36.0,42.0,30.0,31.0,34.0,30.0,32.0,53.0,92.0,89.0,97.0,78.0,77.0,70.0,64.0,68.0,70.0,62.0,57.0,70.0,63.0,93.0,75.0,82.0,77.0,90.0,82.0,94.0,82.0,57.0,59.0,64.0,80.0,55.0,50.0,58.0,55.0,57.0,65.0,64.0,64.0,60.0,75.0,55.0,57.0,54.0,54.0,55.0,51.0,54.0,57.0,64.0,82.0,78.0,58.0,68.0,73.0,24.0,33.0,30.0,32.0,38.0,16.0,23.0,125.0,132.0,129.0,127.0,127.0,97.0,105.0
20250213,23,PM2.5,11.0,14.0,13.0,16.0,16.0,14.0,11.0,48.0,48.0,44.0,53.0,53.0,41.0,56.0,51.0,46.0,18.0,15.0,15.0,20.0,18.0,18.0,13.0,10.0,7.0,16.0,8.0,36.0,68.0,66.0,72.0,57.0,56.0,51.0,46.0,48.0,51.0,44.0,39.0,51.0,41.0,69.0,55.0,60.0,56.0,67.0,60.0,70.0,60.0,40.0,42.0,46.0,59.0,39.0,31.0,40.0,38.0,40.0,47.0,46.0,46.0,43.0,55.0,39.0,40.0,37.0,38.0,31.0,21.0,33.0,31.0,42.0,60.0,57.0,41.0,49.0,53.0,11.0,12.0,16.0,19.0,22.0,6.0,11.0,95.0,100.0,98.0,96.0,96.0,72.0,79.0
20250213,23,PM10,31.0,34.0,25.0,36.0,36.0,29.0,28.0,64.0,66.0,73.0,73.0,73.0,61.0,92.0,78.0,70.0,34.0,27.0,33.0,37.0,36.0,42.0,30.0,31.0,34.0,30.0,32.0,56.0,110.0,112.0,132.0,102.0,90.0,78.0,78.0,85.0,68.0,68.0,63.0,73.0,75.0,92.0,72.0,77.0,87.0,102.0,66.0,90.0,81.0,61.0,66.0,56.0,81.0,58.0,50.0,66.0,60.0,62.0,63.0,72.0,55.0,59.0,70.0,60.0,61.0,57.0,44.0,59.0,52.0,57.0,64.0,78.0,81.0,74.0,61.0,64.0,81.0,24.0,33.0,30.0,32.0,38.0,16.0,23.0,133.0,129.0,135.0,114.0,116.0,91.0,94.0
20250213,23,SO2,6.0,7.0,8.0,10.0,6.0,7.0,6.0,4.0,5.0,4.0,5.0,6.0,8.0,6.0,5.0,7.0,9.0,7.0,6.0,8.0,7.0,8.0,5.0,4.0,5.0,5.0,2.0,8.0,11.0,11.0,7.0,11.0,6.0,6.0,7.0,7.0,8.0,6.0,4.0,5.0,8.0,8.0,9.0,7.0,4.0,7.0,3.0,9.0,8.0,8.0,8.0,8.0,7.0,6.0,3.0,2.0,3.0,7.0,7.0,9.0,7.0,8.0,7.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,9.0,6.0,7.0,5.0,5.0,7.0,8.0,4.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0
20250213,23,NO2,35.0,36.0,39.0,39.0,56.0,39.0,35.0,38.0,31.0,12.0,28.0,50.0,20.0,39.0,37.0,24.0,37.0,26.0,33.0,36.0,29.0,37.0,22.0,22.0,18.0,21.0,24.0,20.0,66.0,40.0,38.0,39.0,63.0,78.0,88.0,81.0,60.0,100.0,85.0,88.0,71.0,77.0,42.0,92.0,67.0,41.0,78.0,35.0,41.0,38.0,58.0,32.0,89.0,48.0,29.0,80.0,26.0,28.0,25.0,49.0,33.0,44.0,40.0,31.0,23.0,32.0,60.0,64.0,43.0,24.0,85.0,67.0,24.0,24.0,16.0,16.0,33.0,26.0,22.0,13.0,21.0,21.0,21.0,19.0,48.0,54.0,27.0,31.0,32.0,15.0,31.0
20250213,23,O3,62.0,51.0,64.0,57.0,36.0,54.0,56.0,51.0,65.0,75.0,70.0,33.0,80.0,51.0,71.0,69.0,50.0,55.0,50.0,52.0,48.0,45.0,61.0,66.0,70.0,63.0,62.0,72.0,37.0,59.0,61.0,74.0,38.0,15.0,8.0,17.0,39.0,8.0,9.0,8.0,21.0,30.0,56.0,7.0,19.0,70.0,25.0,54.0,59.0,59.0,27.0,66.0,6.0,35.0,56.0,33.0,56.0,70.0,76.0,49.0,62.0,60.0,74.0,58.0,61.0,57.0,24.0,10.0,38.0,52.0,10.0,17.0,76.0,87.0,98.0,87.0,65.0,61.0,60.0,70.0,65.0,67.0,51.0,50.0,48.0,43.0,59.0,79.0,66.0,39.0,22.0
20250213,23,CO,0.5,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.8,0.5,0.6,0.8,0.5,0.6,0.5,0.6,0.7,0.5,0.5,0.7,0.6,0.6,0.3,0.1,0.3,0.2,0.5,0.5,1.0,0.9,0.7,0.6,0.2,0.9,0.6,0.6,0.9,1.0,0.9,1.0,0.9,1.0,0.7,0.9,0.8,0.7,0.8,0.7,0.8,0.5,0.7,0.8,0.9,0.5,0.4,0.6,0.4,0.5,0.6,0.7,0.6,0.5,0.6,0.6,0.8,0.5,0.7,0.6,0.6,0.7,0.4,0.9,0.6,0.6,0.4,0.6,0.6,0.1,0.5,0.4,0.5,0.4,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.6,0.9
