1147A,1148A,1149A,1150A,1151A,1152A
36.0,39.0,33.0,34.0,63.0,73.0
19.0,15.0,16.0,17.0,41.0,53.0
36.0,28.0,33.0,34.0,76.0,78.0
9.0,6.0,6.0,6.0,4.0,5.0
36.0,77.0,38.0,39.0,61.0,53.0
58.0,17.0,56.0,50.0,16.0,17.0
0.6,0.5,0.5,0.6,0.6,0.7
