1148A,1149A,1150A,1151A,1152A,1153A
75.0,54.0,53.0,62.0,79.0,67.0
55.0,38.0,37.0,44.0,58.0,46.0
67.0,50.0,51.0,66.0,88.0,83.0
7.0,7.0,6.0,5.0,8.0,3.0
22.0,26.0,22.0,22.0,24.0,1.0
86.0,84.0,84.0,71.0,56.0,72.0
0.7,0.9,0.9,0.4,1.0,0.5
