1148A,1149A,1150A,1151A,1152A,1153A
108.0,114.0,119.0,104.0,100.0,117.0
81.0,86.0,90.0,78.0,75.0,88.0
84.0,107.0,97.0,110.0,105.0,132.0
5.0,6.0,6.0,4.0,8.0,5.0
80.0,83.0,75.0,66.0,76.0,50.0
2.0,2.0,3.0,21.0,12.0,37.0
1.3,1.3,1.3,0.9,0.9,0.7
