1147A,1148A,1149A,1150A,1151A,1152A
27.0,25.0,27.0,23.0,55.0,58.0
14.0,15.0,17.0,16.0,39.0,41.0
27.0,25.0,27.0,23.0,50.0,51.0
9.0,4.0,5.0,6.0,4.0,4.0
26.0,26.0,25.0,26.0,55.0,54.0
56.0,54.0,65.0,60.0,19.0,12.0
0.6,0.5,0.6,0.8,0.6,0.6
