date,hour,type,1141A,1142A,1147A,1148A,1149A,1150A,1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1170A,1172A,1173A,1177A,1180A,1181A,1182A,1186A,1188A,1189A,1191A,1192A,1193A,1194A,1195A,1196A,1200A,1201A,1203A,1204A,1205A,1206A,1207A,1209A,1210A,1211A,1212A,1215A,1216A,1218A,1220A,1221A,1223A,1224A,1227A,1228A,1230A,1231A,1232A,1233A,1234A,1235A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1247A,1250A,1252A,1253A,1255A,1256A,1257A,1258A,1262A,1263A,1264A,1265A,1266A,1268A,1269A
20250215,23,AQI,138.0,134.0,138.0,108.0,114.0,119.0,104.0,100.0,117.0,110.0,113.0,117.0,100.0,119.0,117.0,125.0,130.0,135.0,139.0,143.0,138.0,140.0,162.0,145.0,92.0,107.0,128.0,114.0,104.0,156.0,110.0,147.0,85.0,134.0,140.0,122.0,140.0,166.0,147.0,160.0,153.0,165.0,168.0,201.0,144.0,200.0,129.0,125.0,117.0,134.0,132.0,149.0,129.0,147.0,68.0,56.0,51.0,63.0,64.0,117.0,87.0,62.0,104.0,90.0,89.0,83.0,97.0,85.0,63.0,63.0,67.0,73.0,138.0,85.0,109.0,60.0,62.0,64.0,79.0,97.0,85.0,26.0,16.0,22.0,53.0,59.0
20250215,23,PM2.5,105.0,102.0,105.0,81.0,86.0,90.0,78.0,75.0,88.0,83.0,85.0,88.0,75.0,90.0,88.0,95.0,99.0,103.0,106.0,109.0,105.0,107.0,123.0,111.0,68.0,80.0,97.0,86.0,78.0,119.0,83.0,112.0,63.0,102.0,107.0,92.0,107.0,126.0,112.0,122.0,117.0,125.0,127.0,151.0,110.0,150.0,98.0,95.0,88.0,102.0,100.0,114.0,98.0,112.0,49.0,33.0,35.0,45.0,46.0,88.0,64.0,44.0,78.0,67.0,66.0,61.0,72.0,63.0,45.0,37.0,45.0,53.0,105.0,63.0,82.0,43.0,44.0,46.0,58.0,72.0,63.0,18.0,11.0,15.0,37.0,42.0
20250215,23,PM10,119.0,113.0,120.0,84.0,107.0,97.0,110.0,105.0,132.0,112.0,122.0,123.0,125.0,126.0,119.0,117.0,119.0,123.0,122.0,134.0,133.0,117.0,179.0,154.0,110.0,134.0,149.0,129.0,136.0,158.0,107.0,134.0,90.0,127.0,117.0,110.0,146.0,199.0,152.0,179.0,170.0,167.0,160.0,185.0,156.0,184.0,127.0,139.0,117.0,129.0,137.0,139.0,166.0,158.0,57.0,62.0,51.0,50.0,71.0,88.0,76.0,58.0,93.0,86.0,67.0,79.0,119.0,95.0,72.0,75.0,84.0,65.0,122.0,91.0,103.0,64.0,67.0,62.0,64.0,88.0,75.0,22.0,15.0,17.0,47.0,51.0
20250215,23,SO2,8.0,7.0,10.0,5.0,6.0,6.0,4.0,8.0,5.0,3.0,6.0,8.0,6.0,8.0,9.0,9.0,6.0,6.0,7.0,6.0,9.0,8.0,8.0,3.0,10.0,14.0,16.0,8.0,13.0,10.0,7.0,6.0,6.0,5.0,3.0,4.0,6.0,10.0,7.0,13.0,5.0,7.0,2.0,12.0,12.0,12.0,10.0,11.0,9.0,9.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,8.0,5.0,6.0,7.0,5.0,6.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0
20250215,23,NO2,76.0,73.0,74.0,80.0,83.0,75.0,66.0,76.0,50.0,42.0,61.0,43.0,26.0,59.0,51.0,51.0,41.0,48.0,46.0,49.0,52.0,58.0,86.0,75.0,23.0,47.0,85.0,46.0,65.0,88.0,30.0,55.0,33.0,77.0,55.0,43.0,55.0,61.0,47.0,59.0,41.0,45.0,53.0,88.0,94.0,104.0,57.0,94.0,54.0,38.0,47.0,48.0,29.0,38.0,56.0,35.0,32.0,56.0,53.0,58.0,60.0,40.0,59.0,47.0,51.0,44.0,54.0,62.0,61.0,45.0,63.0,56.0,42.0,46.0,55.0,17.0,44.0,37.0,23.0,56.0,52.0,14.0,17.0,22.0,24.0,20.0
20250215,23,O3_8h,43.0,37.0,45.0,34.0,50.0,49.0,88.0,75.0,93.0,78.0,78.0,87.0,81.0,81.0,79.0,19.0,21.0,23.0,25.0,20.0,16.0,32.0,38.0,48.0,108.0,98.0,103.0,103.0,115.0,86.0,48.0,42.0,50.0,37.0,36.0,45.0,49.0,70.0,68.0,69.0,61.0,76.0,74.0,88.0,85.0,85.0,105.0,93.0,107.0,115.0,109.0,116.0,109.0,101.0,19.0,18.0,27.0,14.0,15.0,26.0,13.0,17.0,65.0,56.0,66.0,68.0,63.0,54.0,54.0,45.0,51.0,14.0,29.0,38.0,41.0,42.0,45.0,44.0,37.0,14.0,8.0,10.0,19.0,14.0,58.0,55.0
20250215,23,CO,1.0,1.1,1.1,1.3,1.3,1.3,0.9,0.9,0.7,0.7,0.9,0.8,0.7,0.9,1.1,1.4,1.1,1.0,1.2,1.1,1.1,1.0,1.2,1.5,0.6,1.0,0.9,0.9,0.8,0.5,1.2,1.1,1.0,1.6,1.2,1.3,1.6,1.3,1.2,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.1,0.9,0.9,0.7,0.8,0.9,0.9,0.7,1.0,0.8,0.9,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.1,0.8,0.8,1.2,0.8,0.5,0.8,0.9,1.2,0.8,0.9,0.6,0.6,0.5,0.8,1.0,0.8,0.7,0.8,0.8,0.8,0.9
