,aqi,pm2.5,pm10,so2,no2,co,o3
1142A_1150A(ShangHai),126.4,95.8,108.6,7.2,77.2,41.8,1.16
1151A_1222A(JiangSu),133.0212765957447,100.7872340425532,136.70212765957447,7.617021276595745,56.191489361702125,70.8936170212766,1.0510638297872341
1223A_1269A(ZheJiang),73.03125,52.8125,69.875,5.1875,43.78125,35.59375,0.8562500000000002
