,aqi,pm2.5,pm10,so2,no2,co,o3
1142A_1150A(ShangHai),60.2,42.8,53.2,8.2,25.6,59.8,0.7999999999999999
1151A_1222A(JiangSu),99.25531914893617,72.68085106382979,99.0,7.25531914893617,31.02127659574468,64.23404255319149,0.7744680851063831
1223A_1269A(ZheJiang),106.62162162162163,79.4054054054054,100.08108108108108,5.108108108108108,20.243243243243242,55.91891891891892,0.8027027027027028
