,aqi,pm2.5,pm10,so2,no2,co,o3
1142A_1150A(ShangHai),26.6,14.6,26.6,6.6,26.4,74.8,0.52
1151A_1222A(JiangSu),55.297872340425535,39.0,49.851063829787236,5.553191489361702,40.765957446808514,60.148936170212764,0.6765957446808513
1223A_1269A(ZheJiang),55.38709677419355,38.32258064516129,57.806451612903224,5.483870967741935,36.96774193548387,62.96774193548387,0.6774193548387097
