1141A,1142A,1143A,1147A,1148A
25.0,31.0,25.0,27.0,25.0
11.0,18.0,15.0,14.0,15.0
25.0,31.0,25.0,27.0,25.0
6.0,6.0,8.0,9.0,4.0
23.0,30.0,27.0,26.0,26.0
75.0,65.0,81.0,71.0,82.0
0.5,0.6,0.4,0.6,0.5
