1142A,1143A,1147A,1148A,1149A
52.0,57.0,63.0,75.0,54.0
36.0,40.0,45.0,55.0,38.0
47.0,48.0,54.0,67.0,50.0
7.0,8.0,12.0,7.0,7.0
20.0,28.0,32.0,22.0,26.0
56.0,61.0,55.0,62.0,65.0
0.7,0.7,1.0,0.7,0.9
