1141A,1142A,1143A,1147A,1148A
31.0,34.0,25.0,36.0,36.0
11.0,14.0,13.0,16.0,16.0
31.0,34.0,25.0,36.0,36.0
6.0,7.0,8.0,10.0,6.0
35.0,36.0,39.0,39.0,56.0
76.0,67.0,79.0,70.0,86.0
0.5,0.6,0.5,0.5,0.5
