1141A,1142A,1147A,1148A,1149A
138.0,134.0,138.0,108.0,114.0
105.0,102.0,105.0,81.0,86.0
119.0,113.0,120.0,84.0,107.0
8.0,7.0,10.0,5.0,6.0
76.0,73.0,74.0,80.0,83.0
43.0,37.0,45.0,34.0,50.0
1.0,1.1,1.1,1.3,1.3
