,aqi,pm2.5,pm10,so2,no2,co,o3
1142A_1150A(ShangHai),36.4,18.2,34.2,6.6,47.4,65.6,0.56
1151A_1222A(JiangSu),69.55319148936171,49.361702127659576,73.53191489361703,6.659574468085107,48.5531914893617,59.02127659574468,0.6702127659574467
1223A_1269A(ZheJiang),63.23076923076923,43.12820512820513,64.1025641025641,5.17948717948718,39.46153846153846,70.56410256410257,0.623076923076923
