1141A,1142A,1143A,1147A,1148A
34.0,39.0,34.0,36.0,39.0
17.0,19.0,21.0,19.0,15.0
34.0,39.0,34.0,36.0,28.0
5.0,6.0,7.0,9.0,6.0
36.0,37.0,51.0,36.0,77.0
68.0,59.0,69.0,64.0,68.0
0.5,0.6,0.6,0.6,0.5
